page,text,image_id
16,xem,D0192T
16,núi cao,D0193
16,núi thấp,D0194
16,đẹp không?,D0195B
16,đẹp không?,D0195N
17,đẹp không?,D0195T
17,xem đã,D0196
17,mồ hôi nhễ nhại,D0197
17,không ngon,D0198
17,hài lòng,D0199
17,má hồng,D0200
17,ngập ngừng,D0201
17,nói ngập ngừng,D0202
17,Võ Thị Sáu,D0203
17,mít tinh,D0204
17,sụp đổ,D0205
17,thiếu thốn,D0206B
17,thiếu thốn,D0206N
17,thiếu thốn,D0206T
17,xuyên Việt,D0207
17,khổ công,D0208
17,dám làm,D0209B
17,dám làm,D0209N
17,dám làm,D0209T
17,không dám,D0210B
18,không dám,D0210N
18,không dám,D0210T
18,phiền hà,D0211
18,đèn ông sao,D0212
18,ung thư,D0213B
18,ung thư,D0213N
18,ung thư,D0213T
18,phó hiệu trưởng,D0214B
18,phó hiệu trưởng,D0214N
18,phó hiệu trưởng,D0214T
18,Ô-lim-píc,D0215
18,vòng nguyệt quế,D0216
18,hữu nghị,D0217
18,bắn cung tên,D0218
18,mũi tên,D0219
18,cung tên,D0220
18,tận số,D0221
18,nứt nẻ (ruộng),D0222
18,Mã Lai (nước Ma-lai-xi-a),D0223B
18,Mã Lai (nước Ma-lai-xi-a),D0223N
19,Mã Lai (nước Ma-lai-xi-a),D0223T
19,số La Mã (Toán học),D0224
19,Long Vương,D0225
19,đàng hoàng,D0226
19,phân vân,D0227
19,lau miệng,D0228
19,chó cắn,D0229
19,mèo cào,D0230
19,quan hệ từ,D0231
19,yêu nước Việt Nam,D0232
19,quan (chức vụ),D0233
19,đi tuần,D0234
19,vỗ về,D0235
19,hốt hoảng,D0236
19,chuyện nhỏ,D0237
19,chuyện lớn,D0238
19,cái gùi,D0239
19,hùng vĩ,D0240
19,bất khuất,D0241
19,nhưng,D0242B
20,nhưng,D0242N
20,nhưng,D0242T
20,hay là (hoặc là),D0243B
20,hay là (hoặc là),D0243N
20,hay là (hoặc là),D0243T
20,Thăng Long,D0244
20,dãy núi Hoàng Liên Sơn,D0245
20,quanh năm,D0246
20,gấp đôi,D0247
20,gấp ba,D0248
20,chia đôi,D0249B
20,chia đôi,D0249N
20,chia đôi,D0249T
20,chia ba,D0250B
20,chia ba,D0250N
20,chia ba,D0250T
20,"đi lạc (đường, rừng..)",D0251
20,mất (chết) (chỉ người),D0252
20,đại sứ,D0253
20,cảnh giác,D0254
21,giám sát,D0255
21,quan sát,D0256
21,ăn vụng,D0257
21,xảy ra,D0258
21,dự án,D0259
21,đầu tư,D0260
21,năn nỉ,D0261
21,háo hức,D0262
21,rắc rối,D0263
21,tải về,D0264
21,nhõng nhẽo,D0265
21,hên/gặp may,D0266
21,đen đủi,D0267B
21,xui xẻo,D0268N
21,long lanh (mắt),D0269
21,lạnh lùng,D0270B
21,lạnh lùng,D0270N
21,lạnh lùng,D0270T
21,dỗi,D0271B
21,dỗi,D0271N
22,dỗi,D0271T
22,liếc nhìn,D0272B
22,liếc nhìn,D0272N
22,liếc nhìn,D0272T
22,nhổ tóc,D0273
22,nhổ râu,D0274
22,nhổ lông mày,D0275
22,cắt lông mũi,D0276
22,nhổ răng,D0277
22,răng hô,D0278
22,răng khểnh,D0279
22,kháu khỉnh,D0280
22,mọc tóc,D0281
22,mọc râu,D0282
22,mọc ria mép,D0283
22,Cô vy (covid),D0284
22,Cố đô Huế,D0285
22,cách ly,D0286
22,giãn cách xã hội,D0287
22,tương lai,D0288
23,ria mép,D0289
23,trong khoảng,D0290
23,trốn tìm,D0291
23,nhảy bao bố,D0292
23,nhảy lò cò,D0293
23,kéo co,D0294
23,hội thoại,D0295
23,lý do,D0296
23,lớn hơn 1 (Toán học),D0297
23,lớn hơn 2 (Toán học),D0298
23,2 < 5 (Toán học),D0299
